11:36:23.874227 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:36:27.343430 IP 10.12.100.44.64913 > 10.12.19.23.57797: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.343432 IP 10.12.100.44.64913 > 10.12.19.23.10617: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.345947 IP 10.12.100.44.64914 > 10.12.19.23.340: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.349055 IP 10.12.100.44.64913 > 10.12.19.23.631: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.349088 IP 10.12.100.44.64913 > 10.12.19.23.1026: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.349103 IP 10.12.100.44.64913 > 10.12.19.23.1045: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.393628 IP 10.12.100.44.64914 > 10.12.19.23.10617: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.393662 IP 10.12.100.44.64914 > 10.12.19.23.57797: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.393664 IP 10.12.100.44.64914 > 10.12.19.23.1145: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.396507 IP 10.12.100.44.64912 > 10.12.19.23.7778: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.399283 IP 10.12.100.44.64914 > 10.12.19.23.1045: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.399293 IP 10.12.100.44.64914 > 10.12.19.23.1026: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.399295 IP 10.12.100.44.64914 > 10.12.19.23.631: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.443776 IP 10.12.100.44.64912 > 10.12.19.23.5862: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.443789 IP 10.12.100.44.64912 > 10.12.19.23.726: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.443790 IP 10.12.100.44.64912 > 10.12.19.23.3826: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.446653 IP 10.12.100.44.64913 > 10.12.19.23.7778: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
