16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:49.663862 IP 10.12.100.171.43771 > 10.12.19.23.8000: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.663864 IP 10.12.100.171.43771 > 10.12.19.23.27000: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.711733 IP 10.12.100.171.43772 > 10.12.19.23.5222: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.711758 IP 10.12.100.171.43772 > 10.12.19.23.52869: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.711760 IP 10.12.100.171.43772 > 10.12.19.23.1035: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.711761 IP 10.12.100.171.43770 > 10.12.19.23.2701: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.714157 IP 10.12.100.171.43772 > 10.12.19.23.27000: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.714164 IP 10.12.100.171.43772 > 10.12.19.23.8000: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.714165 IP 10.12.100.171.43772 > 10.12.19.23.6002: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.762318 IP 10.12.100.171.43771 > 10.12.19.23.2701: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.762335 IP 10.12.100.171.43770 > 10.12.19.23.720: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.762337 IP 10.12.100.171.43770 > 10.12.19.23.7741: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.762339 IP 10.12.100.171.43770 > 10.12.19.23.8181: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.764774 IP 10.12.100.171.43770 > 10.12.19.23.7002: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.764781 IP 10.12.100.171.43770 > 10.12.19.23.2366: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.764782 IP 10.12.100.171.43770 > 10.12.19.23.3030: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.812609 IP 10.12.100.171.43771 > 10.12.19.23.8181: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.812631 IP 10.12.100.171.43771 > 10.12.19.23.7741: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.812633 IP 10.12.100.171.43771 > 10.12.19.23.720: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.812635 IP 10.12.100.171.43772 > 10.12.19.23.2701: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.815059 IP 10.12.100.171.43771 > 10.12.19.23.3030: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.815067 IP 10.12.100.171.43771 > 10.12.19.23.2366: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.815068 IP 10.12.100.171.43771 > 10.12.19.23.7002: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.863148 IP 10.12.100.171.43772 > 10.12.19.23.720: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.863157 IP 10.12.100.171.43772 > 10.12.19.23.7741: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.863159 IP 10.12.100.171.43772 > 10.12.19.23.8181: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.863215 IP 10.12.100.171.43770 > 10.12.19.23.179: Flags [.], ack 4201513115, win 1024, length 0
