16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:19:01.439735 IP 10.12.100.171.44370 > 10.12.19.23.12345: Flags [none], win 1024, length 0
16:19:01.439737 IP 10.12.100.171.44370 > 10.12.19.23.2383: Flags [none], win 1024, length 0
16:19:01.439737 IP 10.12.100.171.44370 > 10.12.19.23.52848: Flags [none], win 1024, length 0
16:19:01.485883 IP 10.12.100.171.44371 > 10.12.19.23.5910: Flags [none], win 1024, length 0
16:19:01.490267 IP 10.12.100.171.44371 > 10.12.19.23.52848: Flags [none], win 1024, length 0
16:19:01.490272 IP 10.12.100.171.44371 > 10.12.19.23.2383: Flags [none], win 1024, length 0
16:19:01.490273 IP 10.12.100.171.44371 > 10.12.19.23.12345: Flags [none], win 1024, length 0
16:19:01.490274 IP 10.12.100.171.44371 > 10.12.19.23.2998: Flags [none], win 1024, length 0
16:19:01.536178 IP 10.12.100.171.44369 > 10.12.19.23.211: Flags [none], win 1024, length 0
16:19:01.540959 IP 10.12.100.171.44369 > 10.12.19.23.19780: Flags [none], win 1024, length 0
16:19:01.540966 IP 10.12.100.171.44369 > 10.12.19.23.7999: Flags [none], win 1024, length 0
16:19:01.540967 IP 10.12.100.171.44369 > 10.12.19.23.1063: Flags [none], win 1024, length 0
16:19:01.541027 IP 10.12.100.171.44369 > 10.12.19.23.1111: Flags [none], win 1024, length 0
16:19:01.586369 IP 10.12.100.171.44370 > 10.12.19.23.211: Flags [none], win 1024, length 0
16:19:01.591711 IP 10.12.100.171.44370 > 10.12.19.23.1111: Flags [none], win 1024, length 0
16:19:01.591717 IP 10.12.100.171.44370 > 10.12.19.23.1063: Flags [none], win 1024, length 0
16:19:01.591719 IP 10.12.100.171.44370 > 10.12.19.23.7999: Flags [none], win 1024, length 0
16:19:01.591720 IP 10.12.100.171.44370 > 10.12.19.23.19780: Flags [none], win 1024, length 0
16:19:01.636583 IP 10.12.100.171.44371 > 10.12.19.23.211: Flags [none], win 1024, length 0
16:19:01.642573 IP 10.12.100.171.44371 > 10.12.19.23.19780: Flags [none], win 1024, length 0
